,meandom,class
sample1,0.0078125,male
sample2,0.009014423,male
sample3,0.007990057,male
sample4,0.201497396,male
sample5,0.7128125,male
sample6,0.298221983,male
sample7,0.479619565,male
sample8,0.301339286,male
sample9,0.336476293,male
sample10,0.340364583,male
sample11,0.460227273,male
sample12,0.24609375,male
sample13,0.481670673,male
sample14,1.277113971,male
sample15,1.245738636,male
sample16,1.621299342,male
sample17,1.434114583,male
sample18,0.106279481,male
sample19,0.1465625,male
sample20,0.193044355,male
sample21,0.235877404,male
sample22,0.20984375,male
sample23,0.059621711,male
sample24,0.1015625,male
sample25,0.206756162,male
sample26,0.143353175,male
sample27,0.1484375,male
sample28,0.3353125,male
sample29,0.298677885,male
sample30,0.234863281,male
sample31,0.2615625,male
sample32,0.274502841,male
sample33,0.2578125,male
sample34,0.799005682,male
sample35,0.244944853,male
sample36,0.372869318,male
sample37,0.239583333,male
sample38,0.2609375,male
sample39,0.187890625,male
sample40,0.328464674,male
sample41,0.313657407,male
sample42,0.346768466,male
sample43,0.41953125,male
sample44,0.607610887,male
sample45,0.204152961,male
sample46,0.715745192,male
sample47,0.264128989,male
sample48,0.162642045,male
sample49,0.467797256,male
sample50,0.505859375,male
sample51,0.853298611,male
sample52,0.6153125,male
sample53,0.896282328,male
sample54,0.9746875,male
sample55,0.628700658,male
sample56,0.920479911,male
sample57,0.791666667,male
sample58,0.583417339,male
sample59,1.10875,male
sample60,1.086759868,male
sample61,0.560032895,male
sample62,1.116666667,male
sample63,0.652777778,male
sample64,0.706341912,male
sample65,0.599144345,male
sample66,0.410546875,male
sample67,0.639616935,male
sample68,0.578125,male
sample69,0.813179348,male
sample70,0.568287037,male
sample71,1.048519737,male
sample72,0.299278846,male
sample73,0.637834821,male
sample74,1.067057292,male
sample75,0.1953125,male
sample76,0.884548611,male
sample77,0.801339286,male
sample78,1.795625,male
sample79,0.62265625,male
sample80,0.807112069,male
sample81,1.7525,male
sample82,1.036865234,male
sample83,1.095128676,male
sample84,0.160571809,male
sample85,0.147273936,male
sample86,0.167782738,male
sample87,0.161783854,male
sample88,0.147959184,male
sample89,0.230182927,male
sample90,0.256893382,male
sample91,0.277018229,male
sample92,0.145559211,male
sample93,0.159201389,male
sample94,0.0078125,male
sample95,0.0078125,male
sample96,0.0078125,male
sample97,0.0078125,male
sample98,0.007978723,male
sample99,0.0078125,male
sample100,0.008184524,male
sample101,0.0078125,male
sample102,0.0078125,male
sample103,0.0078125,male
sample104,0.216145833,male
sample105,0.272518382,male
sample106,1.143028846,male
sample107,0.275275735,male
sample108,0.241508152,male
sample109,0.143554688,male
sample110,0.440104167,male
sample111,0.163671875,male
sample112,1.060546875,male
sample113,0.155,male
sample114,0.91796875,male
sample115,0.0078125,male
sample116,0.0078125,male
sample117,0.008246528,male
sample118,0.0078125,male
sample119,0.019030449,male
sample120,0.0078125,male
sample121,0.0703125,male
sample122,0.099516369,male
sample123,0.089969758,male
sample124,0.0703125,male
sample125,0.075757576,male
sample126,0.073828125,male
sample127,0.165625,male
sample128,0.0703125,male
sample129,0.082175926,male
sample130,0.076450893,male
sample131,0.956473214,male
sample132,1.016357422,male
sample133,0.870639535,male
sample134,0.646150915,male
sample135,0.926106771,male
sample136,0.155859375,male
sample137,0.136875,male
sample138,0.291015625,male
sample139,0.335625,male
sample140,0.294866071,male
sample141,0.328354779,male
sample142,0.466974432,male
sample143,0.119654605,male
sample144,0.135416667,male
sample145,0.305706522,male
sample146,0.014772727,male
sample147,0.01671875,male
sample148,0.021033654,male
sample149,0.394717262,male
sample150,0.0078125,male
sample151,0.020507813,male
sample152,0.018483232,male
sample153,0.041756466,male
sample154,0.0078125,male
sample155,0.016958841,male
sample156,0.164884868,male
sample157,0.100669643,male
sample158,0.087946429,male
sample159,0.071824597,male
sample160,0.083757267,male
sample161,0.090460526,male
sample162,0.085049716,male
sample163,0.0703125,male
sample164,0.0953125,male
sample165,0.078804348,male
sample166,1.107142857,male
sample167,1.168870192,male
sample168,1.283770161,male
sample169,1.711516204,male
sample170,0.715692935,male
sample171,1.240953947,male
sample172,1.761126894,male
sample173,1.457932692,male
sample174,2.1003125,male
